Date,GameNum, PlayerID, GroupID, Region, Age, NoseBlack, PawCircumference, Weight, Size, Sex
2022-09-13 16:27:40,65,edwards,bhs2022,2,3.4,0.08,4.7,362,77,male
2022-09-13 16:27:40,65,edwards,bhs2022,4,3.7,0.15,3.8,294,72,male
2022-09-13 16:27:40,65,edwards,bhs2022,1,4.2,0.11,3.6,272,67,female
2022-09-13 16:27:40,65,edwards,bhs2022,0,4.4,0.22,3.3,265,67,female
2022-09-13 16:27:41,65,edwards,bhs2022,0,2.6,0.01,4.3,349,80,male
2022-09-13 16:27:41,65,edwards,bhs2022,0,0.3,0,2.2,22,44,female
2022-09-13 16:27:41,65,edwards,bhs2022,4,14,0.88,4.7,299,73,male
2022-09-13 16:27:41,65,edwards,bhs2022,0,2.6,0.17,4.3,413,78,male
2022-09-13 16:27:42,65,edwards,bhs2022,1,1.3,0.02,3,131,53,female
2022-09-13 16:27:42,65,edwards,bhs2022,1,2.9,0.07,3.8,303,69,female
2022-09-13 16:27:42,65,edwards,bhs2022,3,2.1,0.01,3.3,148,55,male
2022-09-13 16:27:42,65,edwards,bhs2022,0,4.6,0.3,3.7,266,70,female
2022-09-13 16:27:43,65,edwards,bhs2022,4,5.9,0.41,3.7,263,69,female
2022-09-13 16:27:43,65,edwards,bhs2022,1,16.7,0.95,4,348,73,male
2022-09-13 16:27:43,65,edwards,bhs2022,5,10.2,0.49,4.1,270,70,male
2022-09-13 16:27:44,65,edwards,bhs2022,0,0.4,0.01,2,13,47,male
2022-09-13 16:27:44,65,edwards,bhs2022,4,11.6,0.75,3.2,267,70,female
2022-09-13 16:27:44,65,edwards,bhs2022,2,3.8,0.15,3.8,356,73,male
2022-09-13 16:27:44,65,edwards,bhs2022,3,10.9,0.75,4.6,414,78,male
2022-09-13 16:27:44,65,edwards,bhs2022,5,15.3,0.9,3.6,267,66,female
2022-09-13 16:27:45,65,edwards,bhs2022,3,6.9,0.42,3.3,263,71,female
2022-09-13 16:27:45,65,edwards,bhs2022,0,9.3,0.61,3.4,233,66,female
2022-09-13 16:27:45,65,edwards,bhs2022,0,14.7,0.9,3.4,265,68,female
2022-09-13 16:27:45,65,edwards,bhs2022,1,1.4,0.06,2.8,118,52,male
2022-09-13 16:27:46,65,edwards,bhs2022,4,4,0.2,4.3,382,81,male
2022-09-13 16:27:46,65,edwards,bhs2022,5,7.2,0.45,4.7,347,72,male
2022-09-13 16:27:46,65,edwards,bhs2022,4,9.9,0.56,4.5,371,78,male
2022-09-13 16:27:46,65,edwards,bhs2022,4,4.1,0.14,4.7,306,76,male
2022-09-13 16:27:47,65,edwards,bhs2022,2,6.8,0.49,3.3,275,68,female
2022-09-13 16:27:47,65,edwards,bhs2022,1,6.9,0.37,3.3,263,69,female
2022-09-13 16:27:47,65,edwards,bhs2022,3,7.6,0.35,4.2,360,74,male
2022-09-13 16:27:47,65,edwards,bhs2022,2,3.4,0.08,4.7,362,77,male
2022-09-13 16:27:48,65,edwards,bhs2022,4,3.5,0.27,3.9,320,80,male
2022-09-13 16:27:48,65,edwards,bhs2022,4,3.7,0.15,3.8,294,72,male
2022-09-13 16:27:48,65,edwards,bhs2022,4,13.8,0.89,3.2,251,70,female
2022-09-13 16:27:48,65,edwards,bhs2022,1,4.2,0.11,3.6,272,67,female
2022-09-13 16:27:48,65,edwards,bhs2022,3,3.1,0.01,4.5,395,80,male
2022-09-13 16:27:48,65,edwards,bhs2022,0,4.4,0.22,3.3,265,67,female
2022-09-13 16:27:49,65,edwards,bhs2022,0,17.3,0.98,3.4,269,69,female
2022-09-13 16:27:49,65,edwards,bhs2022,2,3.4,0.08,4.7,362,77,male
2022-09-13 16:27:49,65,edwards,bhs2022,0,2.6,0.01,4.3,349,80,male
2022-09-13 16:27:49,65,edwards,bhs2022,0,3.6,0.01,3.6,269,68,female
2022-09-13 16:27:49,65,edwards,bhs2022,2,3.4,0.08,4.7,362,77,male
2022-09-13 16:27:49,65,edwards,bhs2022,0,0.3,0,2.2,22,44,female
2022-09-13 16:27:49,65,edwards,bhs2022,4,3.7,0.15,3.8,294,72,male
2022-09-13 16:27:50,65,edwards,bhs2022,4,3.7,0.15,3.8,294,72,male
2022-09-13 16:27:50,65,edwards,bhs2022,1,5,0.25,3.7,269,66,female
2022-09-13 16:27:50,65,edwards,bhs2022,4,14,0.88,4.7,299,73,male
2022-09-13 16:27:50,65,edwards,bhs2022,1,4.2,0.11,3.6,272,67,female
2022-09-13 16:27:50,65,edwards,bhs2022,1,4.2,0.11,3.6,272,67,female
2022-09-13 16:27:50,65,edwards,bhs2022,0,2.6,0.17,4.3,413,78,male
2022-09-13 16:27:50,65,edwards,bhs2022,1,2.3,0.04,4.9,325,72,male
2022-09-13 16:27:50,65,edwards,bhs2022,0,4.4,0.22,3.3,265,67,female
2022-09-13 16:27:50,65,edwards,bhs2022,0,4.4,0.22,3.3,265,67,female
2022-09-13 16:27:51,65,edwards,bhs2022,1,1.3,0.02,3,131,53,female
2022-09-13 16:27:51,65,edwards,bhs2022,3,5,0.07,4.4,347,76,male
2022-09-13 16:27:51,65,edwards,bhs2022,0,2.6,0.01,4.3,349,80,male
2022-09-13 16:27:51,65,edwards,bhs2022,0,2.6,0.01,4.3,349,80,male
2022-09-13 16:27:51,65,edwards,bhs2022,1,2.9,0.07,3.8,303,69,female
2022-09-13 16:27:51,65,edwards,bhs2022,0,1.2,0.05,2.8,93,47,male
2022-09-13 16:27:51,65,edwards,bhs2022,0,0.3,0,2.2,22,44,female
2022-09-13 16:27:51,65,edwards,bhs2022,0,0.3,0,2.2,22,44,female
2022-09-13 16:27:52,65,edwards,bhs2022,3,2.1,0.01,3.3,148,55,male
2022-09-13 16:27:52,65,edwards,bhs2022,5,4.3,0.16,3.7,354,77,male
2022-09-13 16:27:52,65,edwards,bhs2022,4,14,0.88,4.7,299,73,male
2022-09-13 16:27:52,65,edwards,bhs2022,4,14,0.88,4.7,299,73,male
2022-09-13 16:27:52,65,edwards,bhs2022,0,4.6,0.3,3.7,266,70,female
2022-09-13 16:27:52,65,edwards,bhs2022,0,7.5,0.44,3.6,278,69,female
2022-09-13 16:27:52,65,edwards,bhs2022,0,2.6,0.17,4.3,413,78,male
2022-09-13 16:27:52,65,edwards,bhs2022,0,2.6,0.17,4.3,413,78,male
2022-09-13 16:27:52,65,edwards,bhs2022,4,5.9,0.41,3.7,263,69,female
2022-09-13 16:27:53,65,edwards,bhs2022,4,5.8,0.33,4.6,358,75,male
2022-09-13 16:27:53,65,edwards,bhs2022,1,1.3,0.02,3,131,53,female
2022-09-13 16:27:53,65,edwards,bhs2022,1,1.3,0.02,3,131,53,female
