Team,           Wins,Loses,WinPct,PointsFor,PointsAg
New England Patriots,16,0,1,589,274
Dallas Cowboys,13,3,0.813,455,325
Green Bay Packers,13,3,0.813,435,291
Indianapolis Colts,13,3,0.813,450,262
Jacksonville Jaguars,11,5,0.688,411,304
San Diego Chargers,11,5,0.688,412,284
Cleveland Browns,10,6,0.625,402,382
New York Giants,10,6,0.625,373,351
Pittsburg Steelers,10,6,0.625,393,269
Seattle Seahawks,10,6,0.625,393,291
Tennessee Titans,10,6,0.625,301,297
Tampa Bay Buccaneers,9,7,0.563,334,270
Washington Redskins,9,7,0.563,334,310
Arizona Cardinals,8,8,0.5,404,399
Houston Texans,8,8,0.5,379,384
Minnesota Vikings,8,8,0.5,365,311
Philadelphia Eagles,8,8,0.5,336,300
Buffalo Bills,7,9,0.438,252,354
Carolina Panthers,7,9,0.438,267,347
Chicago Bears,7,9,0.438,334,348
Cincinnati Bengals,7,9,0.438,380,385
Denver Broncos,7,9,0.438,320,409
Detroit Lions,7,9,0.438,346,444
New Orleans Saints,7,9,0.438,379,388
Baltimore Ravens,5,11,0.313,275,384
San Francisco 49ers,5,11,0.313,219,364
Atlanta Falcons,4,12,0.25,259,414
Kansas City Chiefs,4,12,0.25,226,335
New York Jets,4,12,0.25,268,355
Oakland Raiders,4,12,0.25,283,398
"St, Louis Rams",3,13,0.188,263,438
Miami Dolphins,1,15,0.063,267,437
