,team,year,,
1,3876,2022,nh,3932.78
2,4089,2022,h,2448.67
3,3219,2022,nh,4948.28
4,2928,2022,nh,6401.33
5,1294,2022,h,NA
6,4450,2022,nh,2747.1
7,8303,2022,nh,3445.68
8,2930,2022,h,1241.5
9,1540,2022,nh,NA
10,2147,2022,h,3174.29
11,2811,2022,nh,2710.36
12,2557,2022,h,5096.78
13,7034,2022,nh,3169.54
14,8051,2022,nh,7031.45
15,948,2022,h,4042.33
16,2910,2022,h,4005.32
17,8248,2022,nh,NA
18,1595,2022,h,NA
19,4512,2022,h,4169.16
20,1899,2022,h,3973.52
21,2097,2022,nh,4208.34
22,6831,2022,h,16392.08
23,2907,2022,nh,4144.3
24,3588,2022,nh,3505.37
25,4918,2022,nh,4361.75
26,4125,2022,h,4130.76
27,4488,2022,h,4524.88
28,2976,2022,h,2850.56
29,4915,2022,nh,3836.59
30,2521,2022,nh,3691.15
31,2990,2023,nh,NA
32,2910,2023,h,4005.32
33,6831,2023,h,16392.08
34,360,2023,h,NA
35,753,2023,h,2774.61
36,9036,2023,nh,4546.85
37,5295,2023,nh,4367.5
38,2147,2023,h,3174.29
39,4915,2023,h,3836.59
40,1294,2023,h,NA
41,2930,2023,h,1241.5
42,8303,2023,nh,3445.68
43,2928,2023,nh,6401.33
44,3268,2023,nh,3054.51
45,8248,2023,h,NA
46,3070,2023,h,3351.22
47,2046,2023,h,2706.18
48,3219,2023,h,4948.28
49,5588,2023,nh,NA
50,1983,2023,nh,NA
51,8032,2023,h,NA
52,4979,2023,n/a,NA
53,7461,2023,h,NA
54,1778,2023,h,3865.54
55,1540,2023,h,NA
56,955,2023,h,3801.29
57,3218,2023,h,3534.17
58,4131,2023,h,3428.51
59,8386,2023,nh,3699.12
60,2521,2023,h,3691.15
